timestamp,ip_address,method,page,status_code,country,job_type,request_type
2025-01-08 15:21:22,51.119.166.187,GET,/event.php,304,FR,AI Integration,Promotional Event
2025-03-25 02:37:01,192.80.154.202,GET,/contact.php,200,US,None,Other
2025-01-25 18:47:27,199.178.109.90,GET,/prototype.php,404,US,Consulting,Prototyping Solution
2025-01-01 10:01:50,65.117.7.239,GET,/contact.php,304,JP,None,Other
2025-02-09 03:11:07,152.213.113.30,GET,/virtualassistant.php,404,BR,AI Integration,Virtual Assistant
2025-02-24 14:10:02,47.235.178.119,GET,/virtualassistant.php,304,UK,AI Integration,Virtual Assistant
2025-01-13 12:36:25,86.243.136.213,GET,/event.php,404,CA,Software Assistance,Promotional Event
2025-01-27 11:50:29,159.148.131.239,GET,/scheduledemo.php,404,CA,Consulting,Scheduled Demo
2025-02-21 09:12:51,170.209.230.172,GET,/prototype.php,200,US,Custom Development,Prototyping Solution
2025-03-18 00:35:07,28.23.223.136,GET,/virtualassistant.php,404,IN,Software Assistance,Virtual Assistant
2025-02-07 09:33:27,104.129.164.91,GET,/contact.php,304,IN,None,Other
2025-03-05 08:28:13,72.119.147.116,GET,/prototype.php,304,UK,AI Integration,Prototyping Solution
2025-01-25 10:55:10,98.136.9.194,GET,/contact.php,200,DE,None,Other
2025-03-09 21:34:16,120.28.248.137,GET,/contact.php,304,CN,None,Other
2025-03-31 22:55:59,6.38.222.216,GET,/index.html,200,BR,None,Other
2025-02-03 15:30:15,184.84.69.50,GET,/contact.php,200,CA,None,Other
2025-01-27 00:54:44,45.117.77.199,GET,/index.html,404,AU,None,Other
2025-02-19 18:39:57,141.52.41.147,GET,/index.html,304,US,None,Other
2025-03-10 17:05:59,214.33.13.109,GET,/prototype.php,304,IN,AI Integration,Prototyping Solution
2025-03-30 16:03:51,180.6.186.239,GET,/index.html,304,CN,None,Other
2025-02-22 21:49:12,23.147.210.171,GET,/index.html,304,CN,None,Other
2025-03-06 13:27:10,203.102.31.26,GET,/contact.php,404,CA,None,Other
2025-01-10 05:34:17,220.42.130.44,GET,/index.html,404,CN,None,Other
2025-02-10 15:03:28,157.94.26.1,GET,/contact.php,200,US,None,Other
2025-01-09 00:31:48,159.33.241.234,GET,/virtualassistant.php,404,CN,Custom Development,Virtual Assistant
2025-03-11 11:35:00,197.126.120.181,GET,/scheduledemo.php,200,AU,Consulting,Scheduled Demo
2025-02-15 21:47:29,192.221.17.206,GET,/contact.php,304,JP,None,Other
2025-03-25 00:46:58,153.229.60.4,GET,/contact.php,200,IN,None,Other
2025-02-06 03:37:00,208.158.222.56,GET,/scheduledemo.php,200,CN,Consulting,Scheduled Demo
2025-01-07 15:48:31,151.208.100.65,GET,/scheduledemo.php,200,CN,Consulting,Scheduled Demo
2025-03-29 17:15:17,105.105.73.180,GET,/contact.php,304,BR,None,Other
2025-03-04 08:50:51,146.122.206.170,GET,/scheduledemo.php,200,UK,Consulting,Scheduled Demo
2025-02-26 17:27:55,189.214.96.183,GET,/prototype.php,304,US,AI Integration,Prototyping Solution
2025-03-09 02:08:14,36.120.173.37,GET,/prototype.php,200,US,AI Integration,Prototyping Solution
2025-03-20 03:21:29,56.247.60.140,GET,/event.php,304,CN,Consulting,Promotional Event
2025-01-17 13:58:07,71.206.255.220,GET,/index.html,304,BR,None,Other
2025-03-24 18:51:12,162.215.208.245,GET,/event.php,304,DE,Software Assistance,Promotional Event
2025-03-20 08:33:05,28.30.161.166,GET,/event.php,304,DE,Consulting,Promotional Event
2025-03-03 06:08:49,56.131.73.77,GET,/scheduledemo.php,304,AU,Custom Development,Scheduled Demo
2025-03-09 22:17:46,52.67.148.46,GET,/event.php,304,US,Custom Development,Promotional Event
2025-01-28 00:55:19,90.8.63.80,GET,/scheduledemo.php,404,DE,AI Integration,Scheduled Demo
